Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
e,h_e,0.0592958927154541,0.06060504913330078,0.06509089469909668,0,98.32
l,e_l,0.13065004348754883,0.1957409381866455,0.03246474266052246,0,98.32
l,l_l,0.0696713924407959,0.10213613510131836,0.056894540786743164,0,98.32
o,l_o,0.07891345024108887,0.13580799102783203,0.06566643714904785,0,98.32
<space>,o_<space>,0.02807760238647461,0.09374403953552246,0.09575176239013672,0,98.32
i,<space>_i,0.008609771728515625,0.10436153411865234,0.04629921913146973,0,98.32
<space>,i_<space>,0.10873913764953613,0.15503835678100586,0.04959869384765625,0,98.32
a,<space>_a,0.04734182357788086,0.09694051742553711,0.09037113189697266,0,98.32
m,a_m,0.09840869903564453,0.05106687545776367,0.0536961555480957,1,98.32
<space>,m_<space>,0.0773918628692627,0.1310880184173584,0.05142045021057129,0,98.32
u,<space>_u,0.25044894218444824,0.30186939239501953,0.04479813575744629,0,98.32
s,u_s,0.023562908172607422,0.06836104393005371,0.0875251293182373,0,98.32
e,s_e,0.07244610786437988,0.1599712371826172,0.054955482482910156,0,98.32
r,e_r,0.09109234809875488,0.14604783058166504,0.06193375587463379,0,98.32
<space>,r_<space>,0.03425288200378418,0.09618663787841797,0.045381784439086914,0,98.32
1,<space>_1,0.05236005783081055,0.09774184226989746,0.08045196533203125,0,98.32
<space>,1_<space>,0.14844775199890137,0.22889971733093262,0.06835007667541504,0,98.32
c,<space>_c,0.0870516300201416,0.15540170669555664,0.05761218070983887,0,98.32
a,c_a,0.07398343086242676,0.13159561157226562,0.07352924346923828,0,98.32
n,a_n,0.11498045921325684,0.04099702835083008,0.03726649284362793,1,98.32
<space>,n_<space>,0.0663607120513916,0.10362720489501953,0.044257402420043945,0,98.32
y,<space>_y,0.11428117752075195,0.1585385799407959,0.04960751533508301,0,98.32
o,y_o,0.11589574813842773,0.16550326347351074,0.06711387634277344,0,98.32
u,o_u,0.06543207168579102,0.13254594802856445,0.04831886291503906,0,98.32
<space>,u_<space>,0.09753561019897461,0.14585447311401367,0.04690217971801758,0,98.32
